;Unnamed: 0;text;airline_sentiment
169;12678; This getting bit ridiculous made miss full days work pay cabs back forth;negative
170;10972; DCA pm still due mechanical issues lack snacks plane! Absolutely worse experience!;negative
171;9684; not given option new flight! Why can't get plane PHL-MIA? 20years #eventprof worst travel experience ever;negative
172;368; flight VX399 headed LA JFK dirtiest VA plane ever on. Sad great airline.;negative
173;6139; Whoa. Thanks that's wanted hear! Early flight coming up. Thanks reply.;positive
174;6201;  We share value common. :);positive
175;13472; love travel planes, people nice, amazing! Can please follow back? 😋I love company!;positive
176;2789; thanks! catch conection! :);positive
177;12898; Bad weather happens. But not able get reservations rep hours crazy. #frustrated;negative
178;5778; BETSY BESTY! Gettin' stuck #LAS might not bad most..but want home! #homewardbound #betsy #besty #thankyou;negative
179;13002; attached original ticket. flight number 1672. experience thought would have. Terrible! http://t.co/5SdlyN9MSS;negative
180;2710; received notification in-flight Wi-Fi UA863  . Amazing!;positive
181;5730;" Repeating policy basically repeating ""Fuck you"" customers. I'll shopping new airline ASAP";negative
182;10564; seems airline without dedicated line status members;negative
183;13722; waiting THREE hours talk someone rebook flight due weather. call back service actually work??;negative
184;6176; How stop getting credit card apps? already card!;negative
185;10471;  empty seats open 1st AA1061. No upgrades U.S. Gold member? Would love consistent policies.;negative
186;10786; lies, said email delayed due weather sky clear city departing.;negative
187;6859; worst flying experience I've ever suffered through. I'd appreciate money back.;negative
188;2513; My flight Cancelled Flighted I'm needing help reFlight Booking Problems.;negative
189;6279;  holy fuckinf shit;positive
190;12860; No Meelan not afford supervisor included conversation, pls check rec call #badcustomerservice;negative
191;8897; hard tell, told wifi worked one side plane.;negative
192;3314;" want contact someone question &amp; not put hold minutes order hung sent pet line";negative
193;5079; that's gotta new record: hrs air, 11 hrs waiting bags delivered destination.;negative
194;2356; plowing snow gate plane arrives sit 45 minutes hr flight.... Fail;negative
195;12801; ways get 50 minute wait book flight?;negative
196;14169; ridiculous! You really terrible customer service lack urgency. Im convinced.;negative
197;12341; ok. There no one airport helping us. Another customer got told flight leaving till 1220;negative
198;6636; yes. Thank you. Oct 25-oct 31;positive
199;6741; answer phones #HorribleService #NeverAgain #frustrated #AnswerThePhone;negative
200;9233; pre schooler develop app? The thing crashes every single time.;negative
201;8158; Love you, bae. #JetBae;positive
202;3682; almost like we're punished living near large metro area. EWR top ranked domestic delays. Not good;negative
203;10654; How heck one get Internet desk authorize waiver? Would involved hold another hour?;negative
204;848; Today not finest. All could prevented one gate agent advising 200 passengers.;negative
205;1511; not sure people row paid premium seat can't use overhead space... http://t.co/i9s86KiHge;negative
206;152;" thank checking in. tickets purchased customer happy ;-)";positive
207;1084; Would helpful could refresh boarding time info boarding passes delayed flights;negative
208;7756; we've delayed delayed Palm beach... Need head Westchester. Can give info?;negative
209;8167; stranded passengers helped get another flight?;negative
210;6410; made standby flight Cancelled Flighted no reason. Almost 4hrs Late Flight. Conf# FVF9YW SWRR# 298033455;negative
211;9069;  But maybe hold 30 minutes again. That would amazing.;negative
212;7827;" offered complimentary drink switching seats. Stewardess asked age &amp; said 30. We giggled. #goodgenes #ilookyoung";positive
213;3885; give up. Your service terrible. If forced use United certain routes, never would.;negative
214;12512; worst experience life avoid costs lose belongings no humanity even offer compensation;negative
215;11592; ~45 minutes means no public transit home expensive cab. Promises make;negative
216;11365;" ""admirals club"" CLT rude, ignorant front desk staff... fallen far...THANKS DOUG PARKER!!!";negative
217;4901; continue amazed amazing customer service. Thank SWA!;positive
218;11978; flight 386 Dallas Jacksonville fl Cancelled Flightled. No one notified me. What's going on?;negative
219;12263; guess way saying thanks sharing can't help you, Good Luck. Happy Birthday me. Ugh;negative
220;4930; Two delayed flights row. Neither one explained;negative
221;266; Boo not refunding seat upgrade fee not want buy first place!;negative
222;10698; flight #3797 treatment passengers atrocious hours delay deplane given no direction;negative
223;1422; customer service WORST. hanging customers intentionally one hour hold.;negative
224;5933; Is BWI-SJD service seasonal? Wasn't part extension. Called intl desk. They know. Want fly Sept Sat.;negative
225;8099;bit steamed conjunction w/my new 7-hour wait first, sat bought bit tea, I've settled ;negative
226;9623; merging American negatively affect quality integrity. no longer fly it.;negative
227;5635; thank you! DMing now.;positive
228;2221;" Additionally, husband paid tv service &amp; stopped working halfway flight.";negative
229;970; worst. avoid like plague.;negative
230;5754; Gracias... appreciate that!;positive
231;280;" already contacted Central Baggage &amp; sent DM.  charging dress lost suitcase #help";negative
232;13502; Not necessary. confident excellent in-flight staff make appropriate report.;positive
233;1506; understand intent not inconvenience, catching cab back airport show wet clothes option.;negative
234;1748; rebooked take bus Portland Maine Boston. Told United not cover charge.;negative
235;10773; link work via Mobil.;negative
236;9901; please help! No bags, no way get customer service since 8AM morning! Help!!;negative
237;3193;" broke suitcase &amp; refuses give repair estimate. http://t.co/zOUOwgv3Q6";negative
238;13976; You timely bags missed flight, people need undies next morning!;negative
239;14369; suck worst airline ever never flying stuck 13 hours no one helping #fuckoff;negative
240;10068;" Uh yeah. Flight boarded &amp; hr Late Flightr still sit. Update 4435 DCA?";negative
241;1975;, fuck closed premier access lines ORD. Probably gonna miss flight...Start treating customers better.;negative
242;13870; wait hours talk someone changed flight?;negative
243;7674; not employee Logan told me. finally got one meet daughter first solo flight rude rep :(;negative
244;7611; online resources say we're time, clearly not. This not information age you...;negative
245;6727; Guys real. I've hold 4+ hours including one hangup. Please someone reach get back.;negative
246;10611; want reservation change, adding service. Am going public get help.;negative
247;6094; Fantastic! Thank you!;positive
248;7696; well aware. Insufficient info. No options.;negative
249;13328; trying get home beyond complicated. It's not hard. Students split not fly AA ever;negative
250;3294; thanks! Everything a-ok now.;positive
251;2070; Life goal: complete ✔️;positive
252;3825; Learn hold connections. They texted another flight Late Flightr connection left pulling gate;negative
253;9482; delayed, connection missed, extended layover lounge pass PHL. #5077;negative
254;5746; thanks responding.;positive
255;3830; plane took gate we're waiting lot DIA;negative
256;1074; ones suffer. understand delays, understand trying speed process delays extent.;negative
257;3586; please stop Cancelled Flightling flights? trying get home take two exams tomorrow. You've Cancelled Flightled flights me.;negative
258;9818; tweeted apology not enough delay fiasco. NONE insult gate agent worse. Except Mark N., bad CLT.;negative
259;13444; Fine. Would call me? left message, told would hours call. Haven't heard anything yet.;negative
260;14339; Cancelled Flightled flights maintenance. Customer service desk empty... Can get hotel least? http://t.co/ypbkCiRBXu;negative
261;13041;  US 728/Feb 21. Unprofessional, unprepared, unsympathetic, lacked communication, lacked solutions.;negative
262;6220; #JamesAsworth worst corporate account manager #22 Brent. take 70plus flights  thank;negative
263;5177; please refund ticket. What terrible experience. #southwestfail;negative
264;10739; Cancelled Flightled original flight aruba. Now way home told seats. Never flying ;negative
265;12593; love service cheap upgrades American Provides! One best airlines ever! good food, good seats, amazing thanks!;positive
266;1480; Why time less important you? #StrandUsInDenver #HourAndTenMinuteDelay #FlightFail;negative
267;289; soooo guys going leave seatbelt light flight? You barely call turbulence :-);negative
268;2639; UA7985 coshared flight w/ ANA. Unable check 24 hrs prior.;negative
269;7957;"Cool! "":  We 60% anticipate completing installation A320's year. http://t.co/sGckBopATA”";positive
270;1153;" Cancelled Flights flt EWR. ""No crew"".Tells wife &amp; yr old ""get NY catch "" YYZ! Good #customerservice dead.";negative
271;1595; flight delayed? It keeps changing delayed not??? If delayed checkin time Late Flightr??? http://t.co/NTUIx5dbYR;negative
272;14389; did. Should expect response fiscal year? This calendar year? Never?;negative
273;1753; thank letting down.My luggage still Denver I'm Phl. #neveragain #flyingwithUS #disappointed #lostacustomer;negative
274;11929; worry. I'll sending letter expect compensation. fly twice week w/you guys...for;negative
275;8121; haha no need apologize I'll Flight Booking Problems sooner Late Flightr. love JetBlue;positive
276;13700;" Also, hold 30 minutes ""customer service"" find new flight scheduled bc site SUCKS";negative
277;3216; big properly manage flight times. There thing time. Or least prepared gate land!;negative
278;9607; You guys screwing trip. Thanks nothing. #lazy;negative
279;13594; 953 fligth Somthing talk this?;negative
280;3727; yes, supposed 6PM. Board Meeting tomorrow. Fingers crossed.;negative
281;5066; use #LUV swa hour counting hold, flight Cancelled Flighted me? #noluv;negative
282;425;" sad learn no longer fly SFO &gt; PHL. Hope returns!";negative
283;6339;  hey least guys honest customers unlike ;positive
284;5962; pay service delivered. Whether not fault sort compensation?;negative
285;1666; course. But interesting United seem good sense what's happening flight;negative
286;3235; hour stuck still not plane. Total failure partners ensuring best customer experience.;negative
287;13326; You phone issues. Please fix it!!!!;negative
288;11493; Not one complain much really hour 15minutes still nothing. Agents Agent http://t.co/Q5SB0DaVuy;negative
289;11395; can't even track bag see is. It's like disappeared.;negative
290;2602;. This flight attendant extremely helpful woman hard time walking. Very touching!;positive
291;6948;“: Our fleet's fleek. http://t.co/7iM9rHIvyR” Plz stop;negative
292;10653; eventually given flight Memphis taken original flight bc checked father;negative
293;6738; flight Cancelled Flightled let rebook online. Wait time phone long. Please help;negative
294;2290;    one bag! Claim 4016688561 want MGA!!!! Now!!!;negative
295;8014; real MVP http://t.co/jWL26G6lRw;positive
296;5837; crew 4649 great us today. Traveling Ft. Lauderdale Louisville kids under. Thanks!✈️✈️;positive
297;7887;  Wow amazing video https://t.co/dbcvEPn5QC Great world Guys #Bluemanity #CoreValues #Passion #AeroJobMarket;positive
298;7873; #fail. Snow coming DC area. Tried get earlier flight. You refused. Now flight 6.5 hours delayed. Greedy foolish.;negative
299;4648;" Just go ahead start scavenger hunt pm today work ;) #DestinationDragons";positive
300;7504; At time? All passengers sitting hot plane no air no communication hours. Just wrong;negative
301;14360; would like thank customer service team response Cancelled Flightled flight offering (cont);positive
302;4721; did. Still heard thing.;negative
303;3759;, booked flights w/ . saw prices time searched. It least bit frustrating. #customerservice;negative
304;13712; Flight 4606 MEM DCA delayed hours! Now holding breath keep trapped hours de-ice. #scareair;negative
305;8967; one agents available speak?;negative
306;8630;" Only middle seats. SFO -&gt; BOS. Not fun. She keeps getting $10 credits. Would much rather working TV.";negative
307;3325; Club DEN, East West, disgusting. http://t.co/XijYrPsLZK;negative
308;9564; already spent 60 mins today handling minor child. Shame treating 15 year old girl like this.;negative
309;11942;" spent $8 choppiest feed ""Whiplash"" ever. #americanairlinesfail #iwantmymoneyback";negative
310;13144; system always hangs me?;negative
311;6217; would want last time did, screwed early boarding PAID FOR.;negative
312;7326; oh right! Me hundred people arrived back gate left minutes ago SDQ http://t.co/7gB0hgW51t;negative
313;12128; It's not happens us matters...It's response matters. Way drop ball AA.;negative
314;14231; AA1344 Cancelled Flighted 2.23 rebooked us air 623/544 2.24. Has nonstop 2.24 us (2)?;negative
315;9668; ok 4th try today....giving 12.45am 138 minute hold time. #terrible http://t.co/Ps9Q9RPSiL;negative
316;4399; yes, much so! looking forward using airlines future flights never again.;negative
317;14437; Flight tomorrow already Cancelled Flightled, now?;negative
318;10434; Looks like I'm already delayed miss connecting flight Philadelphia. Do un-delay flights?;negative
319;14067; JFK flight Boston delayed 20 min waiting catering boarding flight LAX waiting hour WTF?;negative
320;10542;" flight Cancelled Flightlations finally get flight, get gate time &amp; given seats away? Seriously??";negative
321;2838; passengers waited inside flight runway returned back gate not count valid journey;negative
322;11328; The captain turned seat belt sign people get walk around. That's not good.;negative
323;1377; glad took care rescheduling UA 1580 OGG Cancelled Flightled. http://t.co/H3k3oWOhD1;negative
324;1596; long day delays. Please get us Dallas tonight!!!! Fingers crossed!!! #winterstorm2015 #whichisworsedenordfw.;negative
325;6121; can't take Knoxville?? yall fav #help;negative
326;7048;STOP THIS “: Our fleet's fleek. http://t.co/Ac6zwmuOOn”;negative
327;9249; It's difficult work Baggage claims answer phone;negative
328;11730; would way wether delayed yet again.. Love Charlotte ice storm!! Good luck mad customers;negative
329;13811; take care  flight screw ups;negative
330;2429; anyone assure aircraft coming Denver left previous destination? Flight 3618;negative
331;8233; no, they're busy awesome trying get us ASAP. I'll deal.;positive
332;11523; useless tweet I've ever seen you.;negative
333;12296;" issue waiting rampers close door..only waste fuel&amp;likely told need fuel.#cycle";negative
334;4729;  what's even better price changed minutes since talked lady still honored cheap1;positive
335;3566; yes, Thx! At 10:35 (landed 9:20).;positive
336;9609; Seriously. This ridiculous. wait hour luggage land. #wtf;negative
337;12438; absolute WORST EXPERIENCE EVER!;negative
338;12337; wish could remember names!;positive
339;13686;" The word failure means: act instance failing proving unsuccessful; lack success nonperformance something due.";negative
340;173; congrats, got business EWR SFO/LAX. Fuck  fl1289 SFO/EWR clincher...;negative
341;8463; says 9:58 owe;negative
342;8753; offered pay tix airport BC never told reservation go through. Was told could pay $2275 pp.;negative
343;11416; thanks! Can help remind agents ok? Ps. Heard rumors streaming wifi TV/movie service might installing;positive
344;5108; flight BOS Cancelled Flightled, no flights till TUESDAY, spent $1000 get flight another airline $170 hotel. Refund;negative
345;6680;. got mess DTW staff great.;positive
346;7883; Thanks complimentary upgrade first. You best!;positive
347;1572; honestly tell you. All know originally going brought concourse;negative
348;5397; wife hold 90 minutes....I get weather bad, insane. #customerservice #customerloyalty;negative
349;11533; still not air deicing plane. I'll miss connect customer service helpful.I'm hoping catch next flight;positive
350;14512;. You neglected mention $200 fee per ticket. medical reason still jump thru hoops.;negative
351;10398; standing line 100 people looking;negative
352;239; sounds like fun;positive
353;250; current bug website shows ‘select departure city’ selecting destination city http://t.co/SLLYIBE2vQ;negative
354;713; not responded various requests contact numbers, anyone know UK customer service number #UnitedAirlines;negative
355;9828;  Sitting gate Flight 719 hour due computers down. What backup plan place this??;negative
356;3880; right... Are guys charging air breathe next?;negative
357;1166; four scheduled flights reservation literally not take one! Unreal;negative
358;13258; customer service today unsat, Flight cnx, not notified, called hours phone line not even let hold;negative
359;7436; Good perspective. If safety concern expressed point arrived airport. #communicationiskey;negative
360;526;  totally sucks cousin worked PHL said ;negative
361;6557; How? It not possible call SWA phone. You put hold hour cut off.;negative
362;3702; thanks! Makes sense. Just annoying can't determined better.;negative
363;9251; better Intel does! She said plane due 630. Flightaware app say 645;negative
364;10408; From I'm flying . Since plane getting stuck drift hours weather issue?;negative
365;8344; giving us free movies apparently dunkin donuts coffee safety hazard. #thingsyoucantmakeup #switch2SBux?;negative
366;5446; Been sitting outside gate 30 mins LGA. Why no move another gate? We'e baking plane!?! flight #3415;negative
367;4898; got mine! Just time wife 15th anniversary!;positive
368;12253; not inconvenience disaster. It's $500 phone bill refuse pay;negative
369;2981;"  guess Kit Kat looks tasty... not going near ""sandwich.""";negative
370;11494; thanks :);positive
371;5265; y'all Cancelled Flightled flight rebooked 1st Cancelled Flightled. help? need nyc. schedule flights tomorrow!;negative
372;3272;" fingers crossed capable getting baggage point A-&gt;B United Airlines!";negative
373;6535; Yes explain hour 45 minute hold time.;negative
374;9693; stranded #Miami without updating departure boards, Cancelled Flightled flight no...;negative
375;11908; You jumping gun Cancelled Flighting flights could've made snow. Now, Cancelled Flightlations. It's ridiculous.;negative
376;9488; When check online states status closed. What mean? As yet able reach live person...;negative
377;1460; disconnect PR group actual business strategy employee attitude ground. #liars #united;negative
378;2417; Worst airline ever?;negative
